PDCD4	NM_001199492,NM_014456,NM_145341
PDCD4-AS1	NR_026932
PEX13	NM_002618
PIK3IP1	NM_001135911,NM_052880
PIK3IP1-AS1	NR_110542
PIK3R1	NM_001242466,NM_181504,NM_181523,NM_181524
PIP4K2A	NM_001330062,NM_005028
PLA2G16	NM_001128203,NM_007069
PLEK	NM_002664
PLEKHA1	NM_001001974,NM_001195608,NM_001330178,NM_021622
PLEKHA2	NM_021623
PLEKHA3	NM_019091
PLEKHA5	NM_001143821,NM_001190860,NM_001256470,NM_001256787,NM_019012
PLEKHA7	NM_001329630,NM_001329631,NM_175058
PLEKHA8	NM_001197026,NM_001197027,NM_001350973,NM_001350974,NM_001350975,NM_001363473,NM_001363474,NM_032639
PLEKHA8P1	NR_037144
PLEKHB1	NM_001130033,NM_001130034,NM_001130035,NM_001130036,NM_021200
PLEKHB2	NM_001100623,NM_001267062,NM_001267063,NM_001267064,NM_001267065,NM_001267066,NM_001267067,NM_001267068,NM_001309448,NM_001309450,NM_001309451,NM_001309452,NM_017958
PLEKHF1	NM_024310
PLEKHF2	NM_024613
PLEKHG1	NM_001029884,NM_001329798,NM_001329799,NM_001329800,NM_001329801,NM_001329802,NM_001329803,NM_001329804,NM_001329805,NM_001329806,NR_138136,NR_138137,NR_138138,NR_138139,NR_138140
PLEKHG2	NM_001351693,NM_001351694,NM_022835
PLEKHG3	NM_001308147
PLEKHG4	NM_001129727,NM_001129728,NM_001129729,NM_001129731
PLEKHJ1	NM_001300836,NM_018049
PLEKHM1	NM_001352825,NM_014798,NR_027774,NR_027782
PLEKHM1P1	NR_024386
PLEKHM2	NM_015164
PLEKHM3	NM_001080475
PLEKHO1	NM_001304722,NM_001304723,NM_001304724,NM_016274
PLEKHO2	NM_001195059,NM_025201
PMAIP1	NM_021127
PNMA8A	NM_001103149,NM_018215
PRDM1	NM_001198,NM_182907
PRDM10	NM_020228,NM_199437,NM_199438,NM_199439
PRDM11	NM_001256695,NM_001256696,NM_001359633
PRDM15	NM_001040424,NM_001282934,NM_022115,NR_104257,NR_104258,NR_104260,NR_135464
PRELID2	NM_138492,NM_182960,NM_205846
PRF1	NM_001083116,NM_005041
PRKCQ-AS1	NR_036502,NR_036503
PSMA5	NM_001199772,NM_001199773,NM_001199774,NM_002790
PTCD2	NM_001284403,NM_001284404,NM_001284405,NM_024754
PTK6	NM_001256358,NM_005975
PWARSN	NR_022011
PYHIN1	NM_152501,NM_198928,NM_198929,NM_198930
RASSF1	NM_001206957,NM_007182,NM_170712,NM_170713,NM_170714
RASSF1-AS1	NR_109831
RCAN3	NM_001251977,NM_001251978,NM_001251979,NM_001251980,NM_001251981,NM_001251982,NM_001251983,NM_001251984,NM_001251985,NM_013441
RCAN3AS	NR_045407,NR_045408,NR_045409,NR_144360
RCBTB2	NM_001268,NM_001286830,NM_001286831,NM_001286832,NM_001352424,NM_001352425,NM_001352426,NM_001352427,NM_001352428,NM_001352429,NM_001352430,NM_001352431,NR_147985
REEP5	NM_005669
REG4	NM_001159352,NM_001159353,NM_032044
RETREG1	NM_001034850,NM_019000
RGS10	NM_001005339,NM_002925
RGS2	NM_002923
RHOC	NM_001042678,NM_001042679,NM_175744
RNF138	NM_001191324,NM_016271,NM_198128
RNF138P1	NR_001575
RPL11	NM_000975,NM_001199802
RPS14P3	NR_077246
RPS5	NM_001009
RSL1D1	NM_015659
RUNX3	NM_001031680,NM_001320672,NM_004350
S100A10	NM_002966
S100A11	NM_005620
S100A4	NM_002961,NM_019554
S100A6	NM_014624
S100B	NM_006272
S1PR5	NM_001166215,NM_030760
SAMD3	NM_001017373,NM_001258275,NM_001277185
SAMSN1	NM_001256370,NM_001286523,NM_022136
SAMSN1-AS1	NR_046512
SARAF	NM_001284239,NM_016127
SATB1	NM_001131010,NM_001195470,NM_001322871,NM_001322872,NM_001322873,NM_001322874,NM_001322875,NM_001322876,NM_002971
SATB1-AS1	NR_125803
SEC61B	NM_006808
SELL	NM_000655,NR_029467
SESN3	NM_001271594,NM_144665
SH2D1A	NM_001114937,NM_002351
SH3BGRL3	NM_031286
SH3YL1	NM_001159597,NM_001282682,NM_001282687,NM_015677,NR_104223,NR_104224,NR_104225,NR_104226,NR_104227
SHCBP1	NM_001324318,NM_001324319,NM_024745,NR_136738
SIGLEC17P	NR_047529,NR_047530,NR_047531
SKA1	NM_001039535,NM_145060
SKAP2	NM_001303468,NM_003930
SLAMF7	NM_001282588,NM_001282589,NM_001282590,NM_001282591,NM_001282592,NM_001282593,NM_001282594,NM_001282595,NM_001282596,NM_021181
SLC25A37	NM_001317812,NM_001317813,NM_001317814,NM_016612
SLC40A1	NM_014585
SLC4A10	NM_001178015,NM_001178016,NM_001354440,NM_001354441,NM_001354442,NM_001354443,NM_001354444,NM_001354445,NM_001354446,NM_001354447,NM_001354448,NM_001354449,NM_001354450,NM_001354451,NM_001354453,NM_001354455,NM_001354460,NM_001354461,NM_022058
